filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
/home/shuo/smartbugs-curated/full/reentrancy.0x93c32845fae42c83a70e5f06214c8433665c2ab5_sol_Log.hex,reentrancy.0x93c32845fae42c83a70e5f06214c8433665c2ab5_sol_Log.hex,eTainter,runtime,2/27/2023,20241111_2221,1731334907,1.304917573928833,0,DoS-With-Failed-Call,,{},{}
/home/shuo/smartbugs-curated/full/unchecked_low_level_calls.0x7a4349a749e59a5736efb7826ee3496a2dfd5489_sol_WhaleGiveaway1.hex,unchecked_low_level_calls.0x7a4349a749e59a5736efb7826ee3496a2dfd5489_sol_WhaleGiveaway1.hex,eTainter,runtime,2/27/2023,20241111_2221,1731334907,1.4187524318695068,0,DoS-With-Failed-Call,,{},{}
/home/shuo/smartbugs-curated/full/reentrancy.0xf015c35649c82f5467c9c74b7f28ee67665aad68_sol_Log.hex,reentrancy.0xf015c35649c82f5467c9c74b7f28ee67665aad68_sol_Log.hex,eTainter,runtime,2/27/2023,20241111_2221,1731334907,1.4536635875701904,0,DoS-With-Failed-Call,,{},{}
/home/shuo/smartbugs-curated/full/access_control.wallet_04_confused_sign_sol_Wallet.hex,access_control.wallet_04_confused_sign_sol_Wallet.hex,eTainter,runtime,2/27/2023,20241111_2221,1731334907,1.523254156112671,0,DoS-With-Failed-Call,,{},{}
/home/shuo/smartbugs-curated/full/unchecked_low_level_calls.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6_sol_Splitter.hex,unchecked_low_level_calls.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6_sol_Splitter.hex,eTainter,runtime,2/27/2023,20241111_2221,1731334907,1.5659229755401611,0,DoS-With-Failed-Call,,{},{}
/home/shuo/smartbugs-curated/full/reentrancy.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1_sol_ACCURAL_DEPOSIT.hex,reentrancy.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1_sol_ACCURAL_DEPOSIT.hex,eTainter,runtime,2/27/2023,20241111_2221,1731334908,0.6251382827758789,0,DoS-With-Failed-Call,,{},{}
/home/shuo/smartbugs-curated/full/unchecked_low_level_calls.0x958a8f594101d2c0485a52319f29b2647f2ebc06_sol_Owned.hex,unchecked_low_level_calls.0x958a8f594101d2c0485a52319f29b2647f2ebc06_sol_Owned.hex,eTainter,runtime,2/27/2023,20241111_2221,1731334907,1.6917688846588135,0,DoS-With-Failed-Call,,{},{}
/home/shuo/smartbugs-curated/full/access_control.multiowned_vulnerable_sol_TestContract.hex,access_control.multiowned_vulnerable_sol_TestContract.hex,eTainter,runtime,2/27/2023,20241111_2221,1731334908,0.7839639186859131,0,DoS-With-Failed-Call,,{},{}
/home/shuo/smartbugs-curated/full/unchecked_low_level_calls.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10_sol_SafeMath.hex,unchecked_low_level_calls.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10_sol_SafeMath.hex,eTainter,runtime,2/27/2023,20241111_2221,1731334908,0.9100747108459473,0,DoS-With-Failed-Call,,{},{}
/home/shuo/smartbugs-curated/full/access_control.multiowned_vulnerable_sol_MultiOwnable.hex,access_control.multiowned_vulnerable_sol_MultiOwnable.hex,eTainter,runtime,2/27/2023,20241111_2221,1731334908,0.9726440906524658,0,DoS-With-Failed-Call,,{},{}
/home/shuo/smartbugs-curated/full/reentrancy.reentrancy_dao_sol_ReentrancyDAO.hex,reentrancy.reentrancy_dao_sol_ReentrancyDAO.hex,eTainter,runtime,2/27/2023,20241111_2221,1731334908,1.0413846969604492,0,DoS-With-Failed-Call,,{},{}
