contract,path,length,jcount,reasonedjcount,totalrjcount,iteration,result
0xC213DC998b6C0d9c51f9cc72240596E1Dd684ec7.code,"[0, 13, 64, 195, 207, 230, 350, 378, 393, 426, 447]",11,10,0,5,2,True
0xE610AF01F92f19679327715B426c35849C47c657.code,"[0, 13, 109, 656, 798, 811, 817, 860]",8,7,0,4,2,True
0xf6a1FA796cfBdcc4adB08DbF634438fB35561D8d.code,"[0, 13, 69, 107, 149]",5,4,0,1,2,True
0x4c67b3dB1d4474c0EBb2DB8BeC4e345526d9E2fd.code,"[0, 13, 35, 57, 109, 127, 161, 174, 222]",9,8,0,0,1,True
0x8c7777C45481DbA411450c228CB692AC3D550344.code,"[0, 13, 65, 76, 218, 282, 354, 397]",8,7,0,4,2,True
0xD116d1349C1382b0B302086a4E4219AE4F8634FF.code,"[0, 13, 65, 76, 218, 229, 293, 365, 408]",9,8,0,4,2,True
0x23A91059Fdc9579A9Fbd0edc5F2Ea0BFdb70Deb4.code,"[0, 13, 65, 76, 218, 229, 293, 365, 408]",9,8,0,5,2,True
0x0eB68F34eFA0086E4136bcA51FC4D0696580643e.code,"[0, 13, 59, 70, 117, 660, 772]",7,6,0,4,2,True
0xBaf51E761510C1a11Bf48dd87c0307aC8A8C8A4f.code,"[0, 13, 65, 76, 218, 282, 354, 397]",8,7,0,4,2,True
0xCEF76Ac06Ee4DfACa24feAF000Cd44cF43f30ce0.code,"[0, 13, 109, 483, 524, 536, 542, 557]",8,7,0,4,2,True
0x0459EbAd0Ba09901fDa1441Ee72e6cb664257F61.code,"[0, 13, 109, 483, 524, 536, 542, 557]",8,7,0,4,2,True
0x039963C07e62eB7AF39EeeB871cb2dE9cBc65d78.code,"[0, 13, 109, 483, 524, 536, 542, 557]",8,7,0,4,2,True
0xa4C63e8B05Df7db85dB0Ad37F8064f92338a2422.code,"[0, 13, 109, 483, 524, 536, 542, 557]",8,7,0,4,2,True
0xDd17Afae8a3dD1936D1113998900447aB9Aa9BC0.code,"[0, 13, 65, 200, 910, 1002, 1017, 1023, 1066]",9,8,0,8,2,True
0xe0b0831d52D970298FE4A9DD4FE3F22bCD130FAE.code,"[0, 13, 109, 483, 524, 536, 542, 557]",8,7,0,4,2,True
0xB4c05E6e4cdB07c15095300D96a5735046eEF999.code,"[0, 13, 65, 76, 218, 229, 293, 365, 408]",9,8,0,5,2,True
0x9902211b5d4BD822594e6F052637BF36515AC9A7.code,"[0, 13, 30, 89, 101, 478, 1217, 1317, 2833, 2864]",10,9,0,27,3,True
0x2A98D8fC14b31b346FF6c56Dc2A252c434F628F2.code,"[0, 13, 65, 179, 191, 236, 338]",7,6,0,4,2,True
0x561EAc93C92360949Ab1f1403323E6db345CBF31.code,"[0, 13, 39, 50, 184, 550, 617, 623, 653]",9,8,0,7,2,True
0xa5D6acCc5695327F65Cbf38DA29198DF53EFDcf0.code,"[0, 13, 65, 76, 218, 282, 354, 397]",8,7,0,4,2,True
0x941d225236464A25EB18076dF7dA6a91D0F95E9e.code,"[0, 13, 39, 50, 142, 185, 226, 232, 262]",9,8,0,4,2,True
0xB5E1b1Ee15C6fA0e48Fce100125569D430F1bD12.code,"[0, 13, 65, 76, 218, 282, 354, 397]",8,7,0,4,2,True
0x95D34980095380851902ccd9A1Fb4C813C2cb639.code,"[0, 13, 65, 76, 218, 229, 293, 365, 408]",9,8,0,5,2,True
0xB93430ce38AC4A6Bb47fB1fc085eA669353fD89E.code,"[0, 13, 65, 76, 218, 229, 293, 365, 408]",9,8,0,5,2,True
0x79aD73567e7f9A5b4a2D28264F78aff9D971CF14.code,"[0, 13, 30, 89, 101, 628, 2144, 2328, 2411, 5522, 5573]",11,10,0,28,3,True
0xaaE1F51Cf3339f18B6d3F3BDc75a5fACD744b0B8.code,"[0, 13, 39, 50, 184, 550, 617, 623, 653]",9,8,0,7,2,True
0x7A8721A9D64c74da899424c1B52ACbf58DDC9782.code,"[0, 13, 65, 76, 87, 98, 382, 393, 655, 727, 770]",11,10,0,6,2,True
0xF281bad74a5A549CEced85Dad57F47a671b07e51.code,"[0, 13, 109, 483, 524, 536, 542, 557]",8,7,0,4,2,True
0x4e73B32ed6c35F570686b89848E5F39F20ECC106.code,"[0, 13, 39, 50, 184, 550, 617, 623, 653]",9,8,0,7,2,True
0x93C32845faE42c83A70e5f06214c8433665C2ab5.code,"[0, 13, 109, 483, 524, 536, 542, 557]",8,7,0,4,2,True
0xbE4041D55DB380c5ae9D4A9b9703f1Ed4E7e3888.code,"[0, 13, 65, 200, 910, 1002, 1017, 1023, 1066]",9,8,0,8,2,True
0x96EDBe868531BD23a6C05e9d0C424ea64fb1B78B.code,"[0, 13, 39, 148, 603, 653, 665, 671, 701]",9,8,0,10,2,True
0x85179AC15AA94E3ca32dd1cc04664E9bB0062115.code,"[0, 13, 39, 148, 603, 653, 665, 671, 701]",9,8,0,10,2,True
0x0DA76dE0916ef2da3c58a97e4D09D501c56a9f15.code,"[0, 13, 109, 483, 524, 536, 542, 557]",8,7,0,4,2,True
0x7c4393EE129D7856B5bD765C2D20b66f464cCD0F.code,"[0, 153, 695, 721, 928, 945, 981, 983, 990, 992, 1024, 161, 172, 1032, 1229, 1246, 1475, 1663, 1669]",19,16,1,11,2,True
0x33813C2f2AAB62aC88C234858a1f08448424828f.code,"[0, 13, 171, 253, 265, 276, 287, 298, 504, 516, 2157, 3795, 3840, 3871, 3921]",15,13,0,134,6,True
